app_id,platform,country,channel_id,sub_campaign_id,install_date,spend,revenue,clicks,impressions,installs
5f3f78ff34aaa53b5b19f747,ios,BR,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-02-06,0,"1,9709581098",0,0,24
5f3f78ff34aaa53b5b19f747,ios,RU,0,N/A,2025-03-08,0,"4,2909871107",0,0,36
5f3f78ff34aaa53b5b19f747,ios,US,0,N/A,2025-02-26,0,"13,26850448",0,0,132
5f3f78ff34aaa53b5b19f747,ios,AT,0,N/A,2025-02-10,0,"4,9767444255",0,0,12
5f3f78ff34aaa53b5b19f747,ios,VN,0,N/A,2025-03-02,0,"3,0067456424",0,0,72
5f3f78ff34aaa53b5b19f747,android,VN,0,N/A,2025-03-08,0,"0,0359492029",0,0,6
5f3f78ff34aaa53b5b19f747,ios,MX,0,N/A,2025-03-08,0,"0,8261391434",0,0,42
5f3f78ff34aaa53b5b19f747,android,IQ,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-03-08,0,0,0,0,6
5f3f78ff34aaa53b5b19f747,ios,IT,0,N/A,2025-03-08,0,"0,2873741978",0,0,6
5f3f78ff34aaa53b5b19f747,android,NP,0,N/A,2025-03-08,0,"0,003019698",0,0,6
5f3f78ff34aaa53b5b19f747,android,MY,0,N/A,2025-03-06,0,"0,012371058",0,0,12
5f3f78ff34aaa53b5b19f747,android,HU,0,N/A,2025-03-08,0,"0,026509104",0,0,6
5f3f78ff34aaa53b5b19f747,android,US,0,N/A,2025-02-25,0,"8,6305309136",0,0,108
5f3f78ff34aaa53b5b19f747,android,CO,0,N/A,2025-03-08,0,"0,0085866429",0,0,6
5f3f78ff34aaa53b5b19f747,android,US,0,N/A,2025-03-03,0,"2,1361499317",0,0,54
5f3f78ff34aaa53b5b19f747,android,CY,0,N/A,2025-03-08,0,"0,088223046",0,0,6
5f3f78ff34aaa53b5b19f747,ios,RS,0,N/A,2025-03-08,0,"0,0651785845",0,0,6
5f3f78ff34aaa53b5b19f747,ios,TW,0,N/A,2025-03-08,0,"0,7628408046",0,0,6
5f3f78ff34aaa53b5b19f747,android,CL,0,N/A,2025-03-08,0,"0,0881823729",0,0,12
5f3f78ff34aaa53b5b19f747,android,PR,0,N/A,2025-03-08,0,"0,4437435485",0,0,12
5f3f78ff34aaa53b5b19f747,android,TR,0,N/A,2025-03-08,0,0,0,0,6
5f3f78ff34aaa53b5b19f747,ios,NI,0,N/A,2025-03-08,0,"0,040381831",0,0,6
5f3f78ff34aaa53b5b19f747,android,GR,0,N/A,2025-02-26,0,"0,0824723577",0,0,6
5f3f78ff34aaa53b5b19f747,android,US,0,N/A,2025-02-08,0,"37,387750248",0,0,384
5f3f78ff34aaa53b5b19f747,android,IL,0,N/A,2025-03-08,0,"0,2769754666",0,0,12
5f3f78ff34aaa53b5b19f747,android,SO,0,N/A,2025-03-07,0,"0,0984312325",0,0,6
5f3f78ff34aaa53b5b19f747,ios,RU,0,N/A,2025-03-03,0,"1,4987489758",0,0,24
5f3f78ff34aaa53b5b19f747,ios,RU,0,N/A,2025-03-01,0,"2,2912577214",0,0,48
5f3f78ff34aaa53b5b19f747,ios,MX,0,N/A,2025-03-02,0,"1,2345549444",0,0,36
5f3f78ff34aaa53b5b19f747,ios,CH,0,N/A,2025-02-22,0,"1,0043564494",0,0,6
5f3f78ff34aaa53b5b19f747,ios,AU,0,N/A,2025-02-11,0,"1,7968012343",0,0,18
5f3f78ff34aaa53b5b19f747,android,NG,0,N/A,2025-03-05,0,"0,1227697784",0,0,6
5f3f78ff34aaa53b5b19f747,android,TH,0,N/A,2025-03-07,0,"0,7835420836",0,0,30
